"filename", "language", "C++", "C", "Makefile", "comment", "blank", "total"
"c:\Users\Administrator\code\sparrow\cli\cli.c", "C", 0, 41, 0, 3, 6, 50
"c:\Users\Administrator\code\sparrow\cli\cli.h", "C++", 5, 0, 0, 0, 3, 8
"c:\Users\Administrator\code\sparrow\compiler\compiler.c", "C", 0, 1508, 0, 525, 405, 2438
"c:\Users\Administrator\code\sparrow\compiler\compiler.h", "C", 0, 55, 0, 7, 16, 78
"c:\Users\Administrator\code\sparrow\compiler\debug.c", "C", 0, 266, 0, 8, 39, 313
"c:\Users\Administrator\code\sparrow\compiler\debug.h", "C", 0, 13, 0, 0, 2, 15
"c:\Users\Administrator\code\sparrow\gc\gc.c", "C", 0, 275, 0, 72, 69, 416
"c:\Users\Administrator\code\sparrow\gc\gc.h", "C++", 8, 0, 0, 0, 1, 9
"c:\Users\Administrator\code\sparrow\include\common.h", "C++", 31, 0, 0, 0, 6, 37
"c:\Users\Administrator\code\sparrow\include\unicodeUtf8.c", "C", 0, 88, 0, 25, 21, 134
"c:\Users\Administrator\code\sparrow\include\unicodeUtf8.h", "C++", 8, 0, 0, 0, 1, 9
"c:\Users\Administrator\code\sparrow\include\utils.c", "C", 0, 66, 0, 9, 10, 85
"c:\Users\Administrator\code\sparrow\include\utils.h", "C++", 98, 0, 0, 2, 23, 123
"c:\Users\Administrator\code\sparrow\makefile", "Makefile", 0, 0, 11, 1, 1, 13
"c:\Users\Administrator\code\sparrow\object\class.c", "C", 0, 80, 0, 17, 22, 119
"c:\Users\Administrator\code\sparrow\object\class.h", "C++", 77, 0, 0, 4, 15, 96
"c:\Users\Administrator\code\sparrow\object\header_obj.c", "C", 0, 11, 0, 1, 3, 15
"c:\Users\Administrator\code\sparrow\object\header_obj.h", "C++", 40, 0, 0, 0, 6, 46
"c:\Users\Administrator\code\sparrow\object\meta_obj.c", "C", 0, 30, 0, 6, 9, 45
"c:\Users\Administrator\code\sparrow\object\meta_obj.h", "C++", 16, 0, 0, 1, 4, 21
"c:\Users\Administrator\code\sparrow\object\obj_fn.c", "C", 0, 41, 0, 4, 6, 51
"c:\Users\Administrator\code\sparrow\object\obj_fn.h", "C++", 41, 0, 0, 6, 16, 63
"c:\Users\Administrator\code\sparrow\object\obj_list.c", "C", 0, 56, 0, 12, 13, 81
"c:\Users\Administrator\code\sparrow\object\obj_list.h", "C++", 12, 0, 0, 0, 3, 15
"c:\Users\Administrator\code\sparrow\object\obj_map.c", "C", 0, 155, 0, 28, 26, 209
"c:\Users\Administrator\code\sparrow\object\obj_map.h", "C++", 20, 0, 0, 0, 6, 26
"c:\Users\Administrator\code\sparrow\object\obj_range.c", "C", 0, 11, 0, 1, 2, 14
"c:\Users\Administrator\code\sparrow\object\obj_range.h", "C++", 10, 0, 0, 0, 3, 13
"c:\Users\Administrator\code\sparrow\object\obj_string.c", "C", 0, 35, 0, 7, 7, 49
"c:\Users\Administrator\code\sparrow\object\obj_string.h", "C++", 12, 0, 0, 0, 3, 15
"c:\Users\Administrator\code\sparrow\object\obj_thread.c", "C", 0, 32, 0, 7, 11, 50
"c:\Users\Administrator\code\sparrow\object\obj_thread.h", "C++", 19, 0, 0, 3, 8, 30
"c:\Users\Administrator\code\sparrow\parser\parser.c", "C", 0, 314, 0, 158, 28, 500
"c:\Users\Administrator\code\sparrow\parser\parser.h", "C", 0, 93, 0, 12, 17, 122
"c:\Users\Administrator\code\sparrow\vm\core.c", "C", 0, 1301, 0, 329, 334, 1964
"c:\Users\Administrator\code\sparrow\vm\core.h", "C", 0, 13, 0, 0, 1, 14
"c:\Users\Administrator\code\sparrow\vm\core.script.inc", "C++", 299, 0, 0, 0, 1, 300
"c:\Users\Administrator\code\sparrow\vm\opcode.inc", "C++", 62, 0, 0, 11, 1, 74
"c:\Users\Administrator\code\sparrow\vm\vm.c", "C", 0, 527, 0, 154, 156, 837
"c:\Users\Administrator\code\sparrow\vm\vm.h", "C++", 59, 0, 0, 11, 15, 85
"Total", "-", 817, 5011, 11, 1424, 1319, 8582